title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,Genre,language_code_label,publication_year,title_label,authors_label,publisher_label,Genre_label
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,eng,652.0,2095690,27591,2006-09-16,Scholastic Inc.,Fantasy & paranormal,2,2006.0,3043,2596,1747,2
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,eng,870.0,2153167,29221,2004-09-01,Scholastic Inc.,Fantasy & paranormal,2,2004.0,3044,2596,1747,2
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352.0,6333,244,2003-11-01,Scholastic,Fantasy & paranormal,2,2003.0,3041,2592,1742,2
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,435.0,2339585,36325,2004-05-01,Scholastic Inc.,Children,2,2004.0,3046,2596,1747,0
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9780439682589,eng,2690.0,41428,164,2004-09-13,Scholastic,Fantasy & paranormal,2,2004.0,3036,2596,1742,2
Unauthorized Harry Potter Book Seven News: Half-Blood Prince Analysis and Speculation,W. Frederick Zimmerman,3.74,0976540606,9780976540601,eng,152.0,19,1,2005-04-26,Nimble Books,Other,2,2005.0,9621,6255,1344,7
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342.0,28242,808,2005-09-12,Scholastic,Fantasy & paranormal,2,2005.0,3037,2592,1742,2
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815.0,3628,254,2005-11-01,Gramercy Books,Fantasy & paranormal,2,2005.0,9050,1449,778,2
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815.0,249558,4080,2002-04-30,Del Rey Books,Fantasy & paranormal,2,2002.0,9049,1449,519,2
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215.0,4930,460,2004-08-03,Crown,Fantasy & paranormal,2,2004.0,7731,1449,465,2
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,eng,6.0,1266,253,2005-03-23,Random House Audio,Fantasy & paranormal,2,2005.0,7731,1454,1626,2
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815.0,2877,195,1996-01-17,Wings Books,Fantasy & paranormal,2,1996.0,9048,1449,2194,2
A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544.0,248558,9396,2004-09-14,Broadway Books,History & Biography,2,2004.0,288,600,323,4
Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55.0,7270,499,2002-12-03,Broadway Books,Non-fiction,2,2002.0,948,600,323,6
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256.0,2088,131,2004-09-14,Broadway Books,Non-fiction,2,2004.0,1180,600,323,6
